Filename,SourceFile,Phi (Pitch),Kappa (Yaw),Omega (Roll),Latitude,Longitude,Altitude
IRX_0001.JPG,/mnt/d/DCIM/100MEDIA/IRX_0001.JPG,90.0,-8.85,0.0,"40 deg 31' 27.83"" N","74 deg 27' 36.53"" W",0 m Below Sea Level
IRX_0002.JPG,/mnt/d/DCIM/100MEDIA/IRX_0002.JPG,90.0,-8.85,0.0,"40 deg 31' 27.83"" N","74 deg 27' 36.53"" W",0 m Below Sea Level
IRX_0003.JPG,/mnt/d/DCIM/100MEDIA/IRX_0003.JPG,90.0,-8.85,0.0,"40 deg 31' 27.83"" N","74 deg 27' 36.53"" W",0 m Below Sea Level
IRX_0004.MOV,/mnt/d/DCIM/100MEDIA/IRX_0004.MOV,,,,,,
IRX_0005.JPG,/mnt/d/DCIM/100MEDIA/IRX_0005.JPG,,,,"40 deg 31' 27.82"" N","74 deg 27' 36.52"" W",0 m Below Sea Level
IRX_0006.JPG,/mnt/d/DCIM/100MEDIA/IRX_0006.JPG,,,,"40 deg 31' 27.82"" N","74 deg 27' 36.52"" W",0 m Below Sea Level
IRX_0007.JPG,/mnt/d/DCIM/100MEDIA/IRX_0007.JPG,,,,"40 deg 31' 27.82"" N","74 deg 27' 36.52"" W",0 m Below Sea Level
IRX_0008.JPG,/mnt/d/DCIM/100MEDIA/IRX_0008.JPG,,,,"40 deg 31' 27.82"" N","74 deg 27' 36.52"" W",0 m Below Sea Level
IRX_0009.JPG,/mnt/d/DCIM/100MEDIA/IRX_0009.JPG,,,,"40 deg 31' 27.82"" N","74 deg 27' 36.52"" W",0 m Below Sea Level
IRX_0010.JPG,/mnt/d/DCIM/100MEDIA/IRX_0010.JPG,,,,"40 deg 31' 27.82"" N","74 deg 27' 36.52"" W",0 m Below Sea Level
IRX_0011.MOV,/mnt/d/DCIM/100MEDIA/IRX_0011.MOV,,,,,,
IRX_0012.JPG,/mnt/d/DCIM/100MEDIA/IRX_0012.JPG,,,,"40 deg 31' 27.82"" N","74 deg 27' 36.52"" W",0 m Below Sea Level
IRX_0013.JPG,/mnt/d/DCIM/100MEDIA/IRX_0013.JPG,,,,"40 deg 31' 27.82"" N","74 deg 27' 36.52"" W",0 m Below Sea Level
